Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_6_L1,BIAS_24_L1,RDP_L1,RDP_L2,RDP_L3
2018/3/8,2738.969971,3212320000,2721.216016,2703.592505,2793.866067,2613.318943,62.55734602,2721.476116,2723.303124,-1.827008228,-5.208547104,3.381538876,0.446307821,0.921592534,0.592486557,1.349928082,0.583333333,0.583333333,39.86074452,60.13925548,52.6112998,0.836074634,12.16992188,2726.800049,0.628529652,0.770635047,-0.048387472,0.263885861,1.103202653
2018/3/9,2786.570068,3364100000,2740.280029,2713.871008,2791.960676,2635.78134,98.81650977,2731.49057,2727.989564,3.501005687,-3.466636546,6.967642233,1.737883152,1.993394971,2.074375028,3.072432056,0.666666667,0.625,0,100,69.44634728,3.155482217,47.60009766,2738.969971,0.921592534,1.349928082,0.446307821,-0.048387472,0.263885861
2018/3/12,2783.02002,3185020000,2752.696045,2722.044507,2792.810321,2651.278693,95.20233967,2739.418178,2732.065894,7.352283285,-1.30285258,8.655135864,-0.127398513,1.296375299,1.698897438,2.728834984,0.583333333,0.625,3.259911894,96.74008811,85.62644786,2.92386203,-3.550048828,2786.570068,1.993394971,3.072432056,1.737883152,0.446307821,-0.048387472
2018/3/13,2765.310059,3301650000,2760.134033,2727.51001,2793.769498,2661.250522,74.77939332,2743.401544,2734.528425,8.873118897,0.732341716,8.140777181,-0.636357655,0.381577038,0.996337842,1.965067586,0.5,0.583333333,19.52248041,80.47751959,92.40586923,0.655553068,-17.70996094,2783.02002,1.296375299,2.728834984,-0.127398513,1.737883152,0.446307821
2018/3/14,2749.47998,3391360000,2764.67002,2731.837012,2791.654276,2672.019747,60.87789012,2744.336688,2735.635948,8.700740351,2.326021443,6.374718908,-0.572452195,-0.321871785,0.510322017,1.27584009,0.416666667,0.583333333,34.05880441,61.08889919,79.4355023,-1.08361333,-15.83007813,2765.310059,0.381577038,1.965067586,-0.636357655,-0.127398513,1.737883152
2018/3/15,2747.330078,3500330000,2766.342041,2734.272021,2792.425718,2676.118325,60.3676534,2744.79721,2736.50218,8.295030017,3.519823157,4.77520686,-0.078193053,-0.523211516,0.422399184,0.938973564,0.416666667,0.583333333,36.03300041,40.21040023,60.592273,0.111142041,-2.149902344,2749.47998,-0.321871785,1.27584009,-0.572452195,-0.636357655,-0.127398513
2018/3/16,2752.01001,5372340000,2759.430029,2735.312524,2793.951774,2676.673275,57.12414569,2745.906871,2737.650908,8.255963419,4.46705121,3.788912209,0.170344717,-0.432111464,0.476610768,0.906301714,0.5,0.583333333,31.73554831,42.17827121,47.82585688,1.406865225,4.679931641,2747.330078,-0.523211516,0.938973564,-0.078193053,-0.572452195,-0.636357655
2018/3/19,2712.919922,3302130000,2745.41001,2734.347522,2793.788329,2674.906715,5.637791941,2740.831956,2735.818983,5.012973023,4.576235572,0.43673745,-1.420419539,-1.408537554,-1.056694249,-0.613418042,0.5,0.541666667,67.63089754,0,27.46289048,1.316443065,-39.09008789,2752.01001,-0.432111464,0.906301714,0.170344717,-0.078193053,-0.572452195
2018/3/20,2716.939941,3261030000,2735.735986,2734.381519,2793.781671,2674.981366,10.42160183,2737.156261,2734.420535,2.735726002,4.208133658,-1.472407656,0.148180545,-0.865667894,-0.987387055,-0.54812238,0.5,0.541666667,63.93942451,5.458264135,15.87884511,0.954572834,4.020019531,2712.919922,-1.408537554,-0.613418042,-1.420419539,0.170344717,-0.078193053
2018/3/21,2711.929932,3415510000,2728.225977,2734.911511,2793.303204,2676.519819,12.29153373,2733.275288,2732.754565,0.520722845,3.470651496,-2.949928651,-0.184398988,-0.726210156,-1.142915622,-0.751643162,0.416666667,0.5,78.30474527,0,1.819421378,-0.331135929,-5.010009766,2716.939941,-0.865667894,-0.54812238,0.148180545,-1.420419539,0.170344717
2018/3/22,2643.689941,3739800000,2707.497949,2731.89801,2801.510798,2662.285222,7.06222527,2719.492927,2726.157185,-6.664258597,1.443669477,-8.107928074,-2.516288841,-2.595547144,-3.382645621,-3.119739888,0.333333333,0.458333333,100,0,1.819421378,-3.094811524,-68.23999023,2711.929932,-0.726210156,-0.751643162,-0.184398988,0.148180545,-1.420419539
