Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BBands_down_L1,BBands_down_L2,BIAS_6_L1,BIAS_24_L1
2019/10/9,2919.399902,2726820000,2922.777979,2966.368018,3043.568589,2889.167447,44.84749174,2938.171057,2948.278014,-10.10695661,-1.245644985,-8.861311622,0.910449255,0.085132212,-0.783280841,-1.682769157,0.416666667,0.5,69.56748343,35.66682006,31.44780358,-2.419299756,26.33984375,2893.060059,2895.004734,2908.165472,-0.935888994,-2.647141287
2019/10/10,2938.129883,3217250000,2928.277979,2962.796008,3038.261803,2887.330214,64.99818076,2938.164723,2947.526301,-9.361577732,-2.868831534,-6.492746198,0.641569538,0.43732586,-0.066159176,-0.995620034,0.5,0.5,51.50253117,56.68107463,32.80090752,-0.959691698,18.72998047,2919.399902,2889.167447,2895.004734,0.085132212,-1.682769157
2019/10/11,2970.27002,3580460000,2931.92998,2960.940015,3033.705093,2888.174937,66.79624975,2943.103999,2949.21102,-6.107021238,-3.516469475,-2.590551763,1.093897751,1.192165907,1.068839615,0.098854627,0.5,0.541666667,15.01140879,100,64.11596489,-0.489136783,32.14013672,2938.129883,2887.330214,2889.167447,0.43732586,-0.995620034
2019/10/14,2966.149902,2557020000,2937.401953,2959.349512,3030.173033,2888.525991,55.03988082,2946.649523,2950.465752,-3.816229672,-3.576421514,-0.239808157,-0.138711873,0.970733875,0.961482429,-0.021407056,0.5,0.5,19.24759713,95.01558,83.89888488,-0.385214178,-4.120117188,2970.27002,2888.174937,2887.330214,1.192165907,0.098854627
2019/10/15,2995.679932,3340740000,2957.925928,2958.848511,3028.485242,2889.21178,68.16522787,2954.192663,2953.814951,0.377711695,-2.785594873,3.163306567,0.995567664,1.647882181,1.868697584,0.981393149,0.583333333,0.5,0,100,98.33852667,1.144236834,29.5300293,2966.149902,2888.525991,2888.174937,0.970733875,-0.021407056
2019/10/16,2989.689941,3222570000,2971.983936,2957.996509,3025.658037,2890.33498,91.3477972,2959.653782,2956.472358,3.181424807,-1.592190937,4.773615744,-0.19995428,0.893285413,1.627712299,0.807624512,0.5,0.458333333,5.542703782,94.1629335,96.39283783,0.435038035,-5.989990234,2995.679932,2889.21178,2888.525991,1.647882181,0.981393149
2019/10/17,2997.949951,3115960000,2983.947949,2957.554504,3024.040554,2891.068455,89.76401698,2965.545501,2959.544772,6.000728739,-0.073607001,6.074335741,0.276283157,0.727018848,1.742196741,1.099547324,0.583333333,0.5,0,100,98.05431117,1.962416501,8.260009766,2989.689941,2890.33498,2889.21178,0.893285413,0.807624512
2019/10/18,2986.199951,3264290000,2987.133936,2957.260999,3023.184421,2891.337576,76.18472603,2968.723108,2961.51923,7.203878786,1.381890156,5.82198863,-0.391934495,0.062884216,1.061651451,0.719946521,0.583333333,0.5,10.64891847,88.79777669,94.32023673,3.41423669,-11.75,2997.949951,2891.068455,2890.33498,0.727018848,1.099547324
2019/10/21,3006.719971,3271620000,2995.247949,2958.007996,3025.791408,2890.224584,72.73286497,2974.56878,2964.867433,9.701346861,3.045781497,6.655565364,0.687161606,0.545803417,1.481097356,1.410601615,0.583333333,0.5,0,100,96.26592556,3.301350284,20.52001953,2986.199951,2891.337576,2891.068455,0.062884216,0.719946521
2019/10/22,2995.98999,3523890000,2995.309961,2959.47749,3029.189145,2889.765835,67.19294643,2977.86435,2967.172807,10.6915431,4.574933818,6.116609283,-0.356866638,0.0206441,0.994016653,1.063954855,0.5,0.458333333,9.440426505,84.35636868,91.05138179,1.489831685,-10.72998047,3006.719971,2890.224584,2891.337576,0.545803417,1.410601615
2019/10/23,3004.52002,3392870000,2998.275977,2960.459985,3032.102587,2888.817383,56.7194314,2981.965223,2969.939268,12.02595511,6.065138076,5.960817031,0.28471488,0.2561043,1.094894981,1.354932817,0.583333333,0.458333333,1.935555933,94.57740334,92.97792401,2.236634111,8.530029297,2995.98999,2889.765835,2890.224584,0.0206441,1.063954855
2019/10/24,3010.290039,3692600000,3000.743994,2962.093481,3036.656891,2887.530072,65.7108597,2986.322887,2972.928214,13.39467313,7.531045087,5.863628047,0.192044636,0.333693,0.957186963,1.523579541,0.666666667,0.5,0,100,92.97792401,4.052110157,5.770019531,3004.52002,2888.817383,2889.765835,0.2561043,1.354932817
2019/10/25,3022.550049,3370370000,3008.014014,2965.131482,3044.212233,2886.050731,67.68263149,2991.896296,2976.603905,15.29239119,9.083314309,6.209076885,0.407270051,0.604841009,1.076968659,1.892997216,0.666666667,0.541666667,0,100,98.19246778,3.533265395,12.26000977,3010.290039,2887.530072,2888.817383,0.333693,1.523579541
2019/10/28,3039.419922,3521230000,3014.554004,2968.265479,3053.654473,2882.876484,85.632043,2999.207623,2981.256943,17.95067993,10.85678743,7.093892498,0.558133787,0.868550723,1.355018904,2.357001258,0.666666667,0.583333333,0,100,100,3.447432316,16.86987305,3022.550049,2886.050731,2887.530072,0.604841009,1.892997216
2019/10/29,3036.889893,3589930000,3022.733984,2973.097473,3062.443857,2883.751089,76.60958993,3005.004895,2985.377903,19.62699293,12.61082853,7.016164397,-0.083240531,0.616684377,1.083514405,2.197201451,0.583333333,0.541666667,2.497806616,95.2460904,98.41536347,2.242889455,-2.530029297,3039.419922,2882.876484,2886.050731,0.868550723,2.357001258
2019/10/30,3046.77002,3776030000,3031.183984,2981.055469,3066.807252,2895.303685,95.46915237,3011.430299,2989.925467,21.50483241,14.38962931,7.115203103,0.325337016,0.661769077,1.186102661,2.43037082,0.666666667,0.583333333,0,100,98.41536347,2.71800549,9.880126953,3036.889893,2883.751089,2882.876484,0.616684377,2.197201451
2019/10/31,3037.560059,4139280000,3036.637988,2987.401978,3070.099358,2904.704597,79.2286161,3015.450262,2993.453955,21.99630712,15.91096487,6.085342246,-0.302286056,0.175229649,0.763439766,2.012463024,0.583333333,0.583333333,11.42389922,81.86302555,92.36970532,1.398017409,-9.209960938,3046.77002,2895.303685,2883.751089,0.661769077,2.43037082
2019/11/1,3066.909912,3930200000,3045.509961,2993.146973,3081.014037,2905.279908,85.34330624,3023.367131,2998.895137,24.47199433,17.62317076,6.848823571,0.966231217,0.829363238,1.520337278,2.868343511,0.666666667,0.583333333,0,100,93.95434185,2.582875556,29.34985352,3037.560059,2904.704597,2895.303685,0.175229649,2.012463024
2019/11/4,3078.27002,4146850000,3053.27998,3000.120972,3091.686935,2908.555008,85.17677087,3031.81373,3004.774758,27.03897159,19.50633093,7.532640659,0.370408905,0.894799001,1.671113314,3.05060186,0.666666667,0.625,0,100,93.95434185,2.679166419,11.36010742,3066.909912,2905.279908,2904.704597,0.829363238,2.868343511
2019/11/5,3074.620117,4486130000,3060.826025,3009.198975,3092.098322,2926.299627,76.67490583,3038.399328,3009.948488,28.45083937,21.29523262,7.155606755,-0.118569921,0.581759812,1.304021817,2.66062055,0.666666667,0.625,3.964265921,94.63091587,98.21030529,2.960959328,-3.649902344,3078.27002,2908.555008,2905.279908,0.894799001,3.05060186
2019/11/6,3076.780029,4458190000,3066.828027,3017.067981,3094.043834,2940.092128,80.39949691,3044.304051,3014.898973,29.40507818,22.91720173,6.487876452,0.070249723,0.433982968,1.180552352,2.495815903,0.666666667,0.625,1.618322068,97.32593141,97.31894909,2.33011585,2.159912109,3074.620117,2926.299627,2908.555008,0.581759812,2.66062055
2019/11/7,3085.179932,4144640000,3076.352002,3024.420483,3097.841514,2950.999453,79.9470829,3050.592648,3020.10497,30.48767825,24.43129703,6.05638122,0.273009519,0.498169971,1.209409711,2.586015477,0.75,0.625,0,100,97.31894909,2.976977283,8.399902344,3076.780029,2940.092128,2926.299627,0.433982968,2.495815903
2019/11/8,3093.080078,3499150000,3081.586035,3030.560986,3105.368727,2955.753246,94.18988768,3057.129176,3025.510533,31.61864238,25.8687661,5.749876278,0.256067609,0.452725872,1.223510835,2.629320622,0.75,0.666666667,0,100,99.1086438,2.947560942,7.900146484,3085.179932,2950.999453,2940.092128,0.498169971,2.586015477
2019/11/11,3087.01001,3035530000,3083.334033,3036.603992,3109.113765,2964.094218,75.41739732,3061.726227,3030.06605,31.660177,27.02704828,4.633128718,-0.196246725,0.146634013,0.813933194,2.154000024,0.666666667,0.666666667,6.854182863,89.0668836,96.35562787,2.548590658,-6.070068359,3093.080078,2955.753246,2950.999453,0.452725872,2.629320622
2019/11/12,3091.840088,3466010000,3086.778027,3041.412,3115.171399,2967.6526,70.55447492,3066.359129,3034.641905,31.71722401,27.96508343,3.752140581,0.156464608,0.229787664,0.781627632,2.071147286,0.666666667,0.666666667,1.497752928,97.76658898,95.61115753,2.292436451,4.830078125,3087.01001,2964.094218,2955.753246,0.146634013,2.154000024
2019/11/13,3094.040039,3509280000,3090.230029,3046.629504,3119.776394,2973.482615,80.76661252,3070.61773,3039.041767,31.57596379,28.6872595,2.888704291,0.071153459,0.195974716,0.703926399,1.925184261,0.666666667,0.666666667,0,100,95.61115753,1.797057287,2.199951172,3091.840088,2967.6526,2964.094218,0.229787664,2.071147286
2019/11/14,3096.629883,3276070000,3092.52002,3051.563501,3124.221315,2978.905687,81.02510093,3074.6196,3043.307553,31.31204701,29.212217,2.099830009,0.083704274,0.172523437,0.625173563,1.833877604,0.75,0.666666667,0,100,99.25552966,1.967143767,2.58984375,3094.040039,2973.482615,2967.6526,0.195974716,1.925184261
2019/11/15,3120.459961,3335650000,3097.995996,3058.276501,3130.34429,2986.208713,87.19939454,3081.671963,3049.022546,32.64941706,29.89965701,2.749760042,0.769548801,0.751758357,1.197597027,2.401022851,0.75,0.708333333,0,100,100,2.418625001,23.83007813,3096.629883,2978.905687,2973.482615,0.172523437,1.833877604
2019/11/18,3122.030029,3436690000,3105,3064.042004,3137.131602,2990.952406,85.22741452,3087.880896,3054.430508,33.45038859,30.60980333,2.840585259,0.050315286,0.64565926,1.017908647,2.27585168,0.833333333,0.708333333,0,100,100,2.780849401,1.570068359,3120.459961,2986.208713,2978.905687,0.751758357,2.401022851
2019/11/19,3120.179932,3590070000,3110.667969,3070.251501,3140.193878,3000.309125,94.98212157,3092.849979,3059.300836,33.54914324,31.19767131,2.351471928,-0.059259445,0.407073884,0.813242018,2.033505976,0.75,0.708333333,2.190243042,94.97939551,98.32646517,1.736928083,-1.850097656,3122.030029,2990.952406,2986.208713,0.64565926,2.27585168
