Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,MA_20_L1,MA_20_L2,BBands_up_L1
2011/5/31,8988.839844,2901000,8827.601953,8908.766064,9114.884306,8702.647823,90.17198778,8861.679697,8870.022492,-8.34279489,-0.49427082,-7.84852407,1.871783225,1.963184428,1.652392949,0.706222688,0.5,0.458333333,14.62535197,100,60.81132798,-0.197305169,165.1601563,8823.679688,8906.628076,8915.837598,9110.251628
2011/6/1,9062.349609,2648800,8894.653906,8914.516064,9130.785162,8698.246967,91.90731792,8892.551991,8884.268945,8.283046153,1.261192574,7.021853578,0.817789246,2.206260061,2.338413662,1.523579133,0.583333333,0.458333333,0,100,81.4527124,1.690356274,73.50976563,8988.839844,8908.766064,8906.628076,9114.884306
2011/6/2,8991.360352,2220600,8935.245898,8913.153564,9127.113331,8699.193798,82.52567915,8907.753278,8892.201642,15.55163556,4.119281172,11.43235439,-0.783342741,0.904396472,1.434357351,0.751538232,0.583333333,0.458333333,21.17440418,78.82559582,92.94186527,1.207445104,-70.98925781,9062.349609,8914.516064,8908.766064,9130.785162
2011/6/3,9046.280273,1890800,8982.501953,8916.606055,9136.729832,8696.482278,82.2464007,8929.065123,8903.614874,25.45024912,8.385474762,17.06477436,0.610807706,1.033406439,1.956695108,1.348761176,0.583333333,0.5,4.793100033,95.20689997,91.34416526,1.134066473,54.91992188,8991.360352,8913.153564,8914.516064,9127.113331
2011/6/7,9057.099609,1770400,9029.185938,8917.687012,9140.333067,8695.040957,81.75449781,8948.762736,8914.984114,33.77862273,13.46410436,20.31451838,0.119599831,0.691107988,1.921434139,1.417414882,0.666666667,0.541666667,1.565949911,98.43405009,90.82218196,1.846642806,10.81933594,9046.280273,8916.606055,8913.153564,9136.729832
2011/6/8,9007.530273,1884200,9032.924023,8916.899512,9138.153122,8695.645901,71.63112093,8957.803896,8921.839385,35.96451118,17.96418572,18.00032546,-0.547298121,-0.199947188,1.201809138,0.8340469,0.666666667,0.5,16.35130175,79.98923443,91.2100615,1.929381192,-49.56933594,9057.099609,8917.687012,8916.606055,9140.333067
2011/6/9,9000.94043,1718400,9020.642188,8915.926514,9135.515817,8696.33721,52.27115264,8964.440286,8927.698721,36.74156433,21.71966144,15.02190289,-0.073159274,-0.295239202,0.888383044,0.768582642,0.666666667,0.458333333,18.31689513,75.66503874,84.69610775,2.897174977,-6.58984375,9007.530273,8916.899512,8917.687012,9138.153122
2011/6/10,8837.820313,2192800,8989.93418,8906.133545,9121.267938,8690.999152,18.46567842,8944.96029,8921.041061,23.91922836,22.15957483,1.759653537,-1.81225638,-1.694645716,-1.015057644,-0.993217325,0.583333333,0.458333333,66.9717395,5.924762068,53.85967841,0.927413208,-163.1201172,9000.94043,8915.926514,8916.899512,9135.515817
2011/6/13,8712.950195,1959600,8923.268164,8891.450537,9116.983877,8665.917197,16.03832024,8909.266429,8905.626923,3.6395059,18.45556104,-14.81605514,-1.412906268,-2.580790676,-2.400741743,-2.24492068,0.583333333,0.416666667,100,0,27.19660027,-0.1620202,-124.8701172,8837.820313,8906.133545,8915.926514,9121.267938
2011/6/14,8829.209961,1685800,8877.690234,8887.325537,9114.239429,8660.411646,26.96761706,8896.950049,8899.966408,-3.016358099,14.16117721,-17.17753531,1.334332953,-0.879944184,-1.136104367,-0.85059018,0.583333333,0.458333333,66.72582696,33.27417304,13.0663117,0.464357204,116.2597656,8712.950195,8891.450537,8906.133545,9116.983877
2011/6/15,8831.450195,2652000,8842.474219,8884.693555,9112.91389,8656.473219,25.61334704,8886.873149,8894.891133,-8.017983754,9.72534502,-17.74332877,0.025372988,-0.434424321,-1.13080878,-0.737674584,0.583333333,0.5,66.08465978,34.4327188,22.56896395,0.243475543,2.240234375,8829.209961,8887.325537,8891.450537,9114.239429
2011/6/16,8654.429688,2089000,8773.17207,8870.173047,9117.401515,8622.944579,20.08132221,8851.112616,8877.079174,-25.96655737,2.586964542,-28.55352191,-2.004433065,-1.778474662,-2.959350379,-2.554248313,0.5,0.458333333,100,0,22.56896395,-1.918133998,-177.0205078,8831.450195,8884.693555,8887.325537,9112.91389
2011/6/17,8636.099609,2252000,8732.82793,8857.334033,9124.387416,8590.280651,19.68959167,8818.033692,8859.228836,-41.19514341,-6.169457049,-35.02568637,-0.211799954,-1.305403275,-2.8446571,-2.591317033,0.416666667,0.458333333,100,0,11.47757293,-3.924202016,-18.33007813,8654.429688,8870.173047,8884.693555,9117.401515
2011/6/20,8530.679688,2202800,8696.373828,8842.016504,9144.732817,8539.300191,21.77745872,8773.825384,8834.891862,-61.06647789,-17.14886122,-43.91761667,-1.220689045,-1.936478033,-3.549879061,-3.607762415,0.333333333,0.458333333,100,0,0,-5.866799945,-105.4199219,8636.099609,8857.334033,8870.173047,9124.387416
2011/6/21,8597.620117,2089200,8650.055859,8834.522021,9153.22582,8515.818223,38.13991323,8746.716881,8817.316177,-70.59929567,-27.83894811,-42.76034756,0.784702182,-0.948105601,-2.431073994,-2.72016592,0.416666667,0.5,87.40940066,14.23474759,4.744915865,-4.379095253,66.94042969,8530.679688,8842.016504,8857.334033,9144.732817
2011/6/22,8621.040039,2079600,8607.973828,8827.743506,9158.332652,8497.154359,23.54026196,8727.381982,8802.777204,-75.39522128,-37.35020274,-38.04501854,0.272400054,-0.279690402,-1.770266859,-2.306041272,0.416666667,0.5,82.83492934,29.41986315,14.55153692,-4.700719207,23.41992188,8597.620117,8834.522021,8842.016504,9153.22582
2011/6/23,8567.280273,1841400,8590.543945,8819.753027,9166.993261,8472.512794,20.31068907,8702.75095,8785.332987,-82.58203638,-46.39656947,-36.18546691,-0.623587936,-0.394262763,-1.926685417,-2.76576323,0.333333333,0.5,93.04726428,12.1689411,18.60785062,-5.408125747,-53.75976563,8621.040039,8827.743506,8834.522021,9158.332652
2011/6/24,8532.830078,2049400,8569.890039,8806.974512,9176.015128,8437.933896,29.88894488,8676.609278,8766.629067,-90.01978987,-55.12121355,-34.89857632,-0.402113555,-0.560486072,-1.876708706,-3.017240883,0.333333333,0.5,99.5915066,0.714960599,14.10125495,-5.27003719,-34.45019531,8567.280273,8819.753027,8827.743506,9166.993261
2011/6/27,8500.160156,2003800,8563.786133,8791.48252,9183.98239,8398.98265,28.53543453,8649.463259,8746.89063,-97.42737067,-63.58244497,-33.8449257,-0.382873227,-0.678971879,-1.781050043,-3.275259531,0.333333333,0.5,100,0,4.294633899,-5.563643903,-32.66992188,8532.830078,8806.974512,8819.753027,9176.015128
2011/6/28,8478.860352,1840800,8540.03418,8774.241553,9189.219066,8359.264039,38.85797557,8623.216658,8727.036535,-103.8198771,-71.62993141,-32.18994573,-0.250581216,-0.827772303,-1.687353451,-3.390408247,0.333333333,0.458333333,100,0,0.2383202,-4.061634524,-21.29980469,8500.160156,8791.48252,8806.974512,9183.98239
2011/6/29,8573.379883,2338600,8530.502148,8753.468555,9164.976591,8341.960519,45.34055158,8615.549462,8715.654561,-100.1050991,-77.32496494,-22.78013412,1.11476693,0.325174506,-0.457152925,-2.242097731,0.416666667,0.5,73.66850303,60.11191643,20.03730548,-1.601872034,94.51953125,8478.860352,8774.241553,8791.48252,9189.219066
2011/6/30,8652.589844,2275800,8547.564063,8732.980566,9121.070291,8344.890841,54.99349286,8621.247982,8710.9831,-89.73511822,-79.80699559,-9.928122626,0.923905881,1.189820251,0.634503701,-1.275205421,0.416666667,0.5,50.72759602,100,53.37063881,-2.000406808,79.20996094,8573.379883,8753.468555,8774.241553,9164.976591
2011/7/1,8739.820313,2416000,8588.962109,8720.403564,9090.049672,8350.757457,74.69232597,8639.489879,8713.11919,-73.62931102,-78.57145868,4.942147661,1.008142884,1.867376279,1.739396967,-0.24663655,0.416666667,0.5,25.98766937,100,86.70397214,-1.037540617,87.23046875,8652.589844,8732.980566,8753.468555,9121.070291
2011/7/4,8774.719727,2317600,8643.874023,8706.825537,9046.312969,8367.338105,84.57254519,8660.294471,8717.682193,-57.38772179,-74.3347113,16.94698951,0.399315007,1.79581694,2.026602411,0.175018205,0.5,0.5,16.08964914,100,100,1.389924506,34.89941406,8739.820313,8720.403564,8732.980566,9090.049672
2011/7/5,8784.44043,2195200,8704.990039,8693.192578,8995.14409,8391.241067,93.4839047,8679.393849,8722.627247,-43.23339811,-68.11444866,24.88105055,0.110780782,1.351501022,1.993029587,0.38359456,0.583333333,0.5,0,100,100,1.717683063,9.720703125,8774.719727,8706.825537,8720.403564,9046.312969
2011/7/6,8824.44043,2197000,8755.202148,8684.038086,8957.027204,8411.048968,100,8701.708708,8730.168965,-28.46025678,-60.18361029,31.7233535,0.455350575,1.140895712,2.167066658,0.955052496,0.666666667,0.5,0,100,100,3.443579562,40,8784.44043,8693.192578,8706.825537,8995.14409
2011/7/7,8773.419922,2347600,8779.368164,8672.662061,8908.284229,8437.039892,83.11032519,8712.741202,8733.372739,-20.63153692,-52.27319561,31.64165869,-0.578172726,0.173339399,1.404368856,0.475740649,0.583333333,0.5,14.76372946,85.23627054,95.07875685,2.04474962,-51.02050781,8824.44043,8684.038086,8693.192578,8957.027204
2011/7/8,8749.549805,2652000,8781.314063,8668.248535,8894.449298,8442.047773,69.64810835,8718.404064,8734.57104,-16.16697615,-45.05195172,28.88497557,-0.272073119,-0.283194717,1.003455009,0.344454355,0.5,0.458333333,21.67099024,78.32900976,87.85509343,1.490652694,-23.87011719,8773.419922,8672.662061,8684.038086,8908.284229
