round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
30,0.09935534745454788,0.0,0.006403550282156896,0.005181347,64,30,0.01,30,50,70,2,Adam
30,0.059529662132263184,0.0,0.005434098518381156,0.005181347,64,30,0.01,30,70,30,1,Adam
30,0.08882761001586914,0.0,0.0033347335272502403,0.005181347,64,30,0.01,30,70,30,2,Adam
30,0.09656264632940292,0.0,0.005172458798214407,0.005181347,64,30,0.01,30,70,50,1,Adam
30,0.05816918611526489,0.0,0.0037312297701052695,0.005181347,64,30,0.01,30,70,50,2,Adam
30,0.06940428167581558,0.0,0.0024851535851379536,0.005181347,64,30,0.01,30,70,70,1,Adam
30,0.10461004823446274,0.0,0.009216075174394666,0.005181347,64,30,0.01,30,70,70,2,Adam
30,0.05963559076189995,0.0,0.0028016942634200193,0.005181347,64,30,0.01,50,30,30,1,Adam
30,0.0836731344461441,0.0,0.005448298882861945,0.005181347,64,30,0.01,50,30,30,2,Adam
30,0.08145705610513687,0.0,0.002675479060820656,0.005181347,64,30,0.01,50,30,50,1,Adam
30,0.03913615643978119,0.0,0.0031517015899310778,0.005181347,64,30,0.01,50,30,50,2,Adam
30,0.06396595388650894,0.0,0.002817290574385064,0.005181347,64,30,0.01,50,30,70,1,Adam
30,0.07645387947559357,0.0,0.0053550044881117195,0.005181347,64,30,0.01,50,30,70,2,Adam
30,0.08926282823085785,0.0,0.0033531604682148428,0.005181347,64,30,0.01,50,50,30,1,Adam
30,0.06841550767421722,0.0,0.0036967409089439275,0.005181347,64,30,0.01,50,50,30,2,Adam
30,0.10182175785303116,0.0,0.0036714242957049856,0.005181347,64,30,0.01,50,50,50,1,Adam
30,0.05939798429608345,0.0,0.006041796798962579,0.005181347,64,30,0.01,50,50,50,2,Adam
30,0.06938008219003677,0.0,0.002805776486337339,0.005181347,64,30,0.01,50,50,70,1,Adam
30,0.05815713852643967,0.0,0.0035748265664348948,0.005181347,64,30,0.01,50,50,70,2,Adam
30,0.1715538203716278,0.0,0.003912232940777693,0.005181347,64,30,0.01,50,70,30,1,Adam
