round_epochs,val_loss,val_acc,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
50,2.93E-05,0,6.33E-05,0.004975124,64,50,0.01,50,30,50,2,Adam
50,5.37E-05,0,0.000128232,0.004975124,64,50,0.01,50,30,70,1,Adam
50,3.52E-05,0,8.03E-05,0.004975124,64,50,0.01,50,30,70,2,Adam
50,0.00014177,0,0.000149701,0.004975124,64,50,0.01,50,50,30,1,Adam
50,3.23E-05,0,4.86E-05,0.004975124,64,50,0.01,50,50,30,2,Adam
50,5.04E-05,0,0.000198528,0.004975124,64,50,0.01,50,50,50,1,Adam
50,5.42E-05,0,5.41E-05,0.004975124,64,50,0.01,50,50,50,2,Adam
50,3.37E-05,0,0.000120003,0.004975124,64,50,0.01,50,50,70,1,Adam
50,0.000129399,0,0.000172914,0.004975124,64,50,0.01,50,50,70,2,Adam
50,4.31E-05,0,0.000132233,0.004975124,64,50,0.01,50,70,30,1,Adam
50,0.000370397,0,0.00013782,0.004975124,64,50,0.01,50,70,30,2,Adam
50,0.000211322,0,0.000128636,0.004975124,64,50,0.01,50,70,50,1,Adam
50,0.000291287,0,0.000156334,0.004975124,64,50,0.01,50,70,50,2,Adam
50,8.33E-05,0,0.000127282,0.004975124,64,50,0.01,50,70,70,1,Adam
50,4.49E-05,0,5.66E-05,0.004975124,64,50,0.01,50,70,70,2,Adam
50,0.000158822,0,0.000171478,0.004975124,64,50,0.01,70,30,30,1,Adam
50,4.20E-05,0,8.85E-05,0.004975124,64,50,0.01,70,30,30,2,Adam
50,3.14E-05,0,0.00011522,0.004975124,64,50,0.01,70,30,50,1,Adam
50,0.000134288,0,6.37E-05,0.004975124,64,50,0.01,70,30,50,2,Adam
50,7.51E-05,0,0.00018361,0.004975124,64,50,0.01,70,30,70,1,Adam
50,4.01E-05,0,2.96E-05,0.004975124,64,50,0.01,70,30,70,2,Adam
50,2.90E-05,0,0.000112958,0.004975124,64,50,0.01,70,50,30,1,Adam
50,1.49E-05,0,4.75E-05,0.004975124,64,50,0.01,70,50,30,2,Adam
50,0.000181302,0,0.000107162,0.004975124,64,50,0.01,70,50,50,1,Adam
50,7.37E-05,0,7.18E-05,0.004975124,64,50,0.01,70,50,50,2,Adam
50,0.000168641,0,0.000110244,0.004975124,64,50,0.01,70,50,70,1,Adam
50,0.000238831,0,9.12E-05,0.004975124,64,50,0.01,70,50,70,2,Adam
50,4.93E-05,0,0.000126343,0.004975124,64,50,0.01,70,70,30,1,Adam
50,3.14E-05,0,6.29E-05,0.004975124,64,50,0.01,70,70,30,2,Adam
50,0.000264095,0,0.000263614,0.004975124,64,50,0.01,70,70,50,1,Adam
50,1.82E-05,0,5.69E-05,0.004975124,64,50,0.01,70,70,50,2,Adam
50,0.000431038,0,0.000164966,0.004975124,64,50,0.01,70,70,70,1,Adam
50,2.63E-05,0,0.000108462,0.004975124,64,50,0.01,70,70,70,2,Adam
50,0.001048803,0,0.002203582,0.004975124,64,50,0.001,30,30,30,1,Adam
50,0.000124959,0,0.001356173,0.004975124,64,50,0.001,30,30,30,2,Adam
50,0.000527607,0,0.001961864,0.004975124,64,50,0.001,30,30,50,1,Adam
50,6.94E-05,0,0.001075891,0.004975124,64,50,0.001,30,30,50,2,Adam
50,0.000695396,0,0.002261878,0.004975124,64,50,0.001,30,30,70,1,Adam
50,0.00041532,0,0.001049289,0.004975124,64,50,0.001,30,30,70,2,Adam
50,0.000934116,0,0.002846351,0.004975124,64,50,0.001,30,50,30,1,Adam
50,0.0001043,0,0.001332991,0.004975124,64,50,0.001,30,50,30,2,Adam
50,0.000750756,0,0.001990244,0.004975124,64,50,0.001,30,50,50,1,Adam
50,0.000202315,0,0.000845794,0.004975124,64,50,0.001,30,50,50,2,Adam
