round_epochs,loss,acc,batch_size,epochs,lr,lstm1_nodes,lstm2_nodes,lstm3_nodes,lstm_layers,optimizer
20,0.014004840106912414,0.006802721,64,20,0.001,50,50,50,1,Adam
20,0.016606267820410178,0.0,64,20,0.001,50,50,50,2,Adam
20,0.013952242603310112,0.006802721,64,20,0.001,50,50,70,1,Adam
20,0.013516317299079327,0.006802721,64,20,0.001,50,50,70,2,Adam
20,0.015432324387183805,0.0,64,20,0.001,50,70,30,1,Adam
20,0.015244938940012536,0.0,64,20,0.001,50,70,30,2,Adam
20,0.014620143144081036,0.006802721,64,20,0.001,50,70,50,1,Adam
20,0.015821204387715886,0.0,64,20,0.001,50,70,50,2,Adam
20,0.01199221411453826,0.006802721,64,20,0.001,50,70,70,1,Adam
20,0.013909738878307699,0.006802721,64,20,0.001,50,70,70,2,Adam
20,0.014391993663470153,0.006802721,64,20,0.001,70,30,30,1,Adam
20,0.01701597826314621,0.0,64,20,0.001,70,30,30,2,Adam
20,0.013630131937462051,0.006802721,64,20,0.001,70,30,50,1,Adam
20,0.016345261893913048,0.0,64,20,0.001,70,30,50,2,Adam
20,0.011458842394252619,0.006802721,64,20,0.001,70,30,70,1,Adam
20,0.016464147666076415,0.0,64,20,0.001,70,30,70,2,Adam
20,0.01429557207921127,0.0,64,20,0.001,70,50,30,1,Adam
20,0.017183331192984264,0.0,64,20,0.001,70,50,30,2,Adam
20,0.011680515869488928,0.006802721,64,20,0.001,70,50,50,1,Adam
20,0.01447360607839766,0.006802721,64,20,0.001,70,50,50,2,Adam
20,0.011217737503881966,0.006802721,64,20,0.001,70,50,70,1,Adam
20,0.014169030822813511,0.0,64,20,0.001,70,50,70,2,Adam
20,0.013119688707397503,0.006802721,64,20,0.001,70,70,30,1,Adam
20,0.014527690729924611,0.0,64,20,0.001,70,70,30,2,Adam
