Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BIAS_24_L1
2016/8/25,16555.94922,92900000,16558.92383,16561.43491,16963.80323,16159.06659,34.55114623,16581.04053,16505.40848,75.63204255,105.1182094,-29.48616685,-0.24914631,0.055465408,-0.620751538,-0.045611425,0.5,0.458333333,54.69380328,18.23473098,15.49959685,-0.568275392,-41.3515625,16597.30078,0.139989917
2016/8/26,16360.70996,104600000,16521.90176,16555.62842,16965.98465,16145.27218,38.59961509,16547.14352,16494.69007,52.45344158,94.58525584,-42.13181426,-1.179269489,-0.999511922,-1.593704473,-1.158069486,0.416666667,0.458333333,100,0,14.62771056,-2.411341775,-195.2392578,16555.94922,-0.045611425
2016/8/29,16737.49023,113900000,16549.76191,16564.03945,16981.99493,16146.08397,61.05985746,16576.42763,16512.67527,63.75235503,88.41867568,-24.66632065,2.302957967,1.085027624,0.671354701,1.088394957,0.5,0.5,32.62275357,97.8826341,38.70578836,0.014168371,376.7802734,16360.70996,-1.158069486
2016/8/30,16725.35938,103700000,16595.36191,16568.51895,16991.34551,16145.69238,57.69538969,16599.3402,16528.42965,70.91055365,84.91705127,-14.00649762,-0.072477171,0.882628439,0.696589228,0.928184148,0.416666667,0.5,34.79203885,96.78038893,64.88767434,-1.149890471,-12.13085938,16737.49023,1.088394957
2016/8/31,16887.40039,150300000,16653.38184,16593.3165,17029.65234,16156.98066,71.9745286,16643.65716,16555.02008,88.63708028,85.66105707,2.976023202,0.968834283,1.462177875,1.663072916,1.849011784,0.5,0.5,5.815263232,100,98.22100768,0.10575168,162.0410156,16725.35938,0.928184148
2016/9/1,16926.83984,131500000,16727.55996,16635.50298,17027.23716,16243.76879,69.92418785,16687.22372,16582.56228,104.6614426,89.46113419,15.20030845,0.233543661,1.364646051,1.731913409,1.971561732,0.583333333,0.541666667,0,100,98.92679631,1.990358713,39.43945313,16887.40039,1.849011784
2016/9/2,16925.67969,116200000,16840.55391,16669.04248,17038.93879,16299.14617,73.49610388,16723.90926,16607.97838,115.9308714,94.75508163,21.17578978,-0.006853945,0.985048089,1.633297012,1.87343393,0.5,0.5,0.204927577,99.79507242,99.93169081,1.075139892,-1.16015625,16926.83984,1.971561732
2016/9/5,17037.63086,127400000,16900.58203,16708.20151,17059.60397,16356.79905,98.1107377,16772.17412,16639.80449,132.3696242,102.2779902,30.09163409,0.661427925,0.973311802,2.023915794,2.444008903,0.583333333,0.5,0,100,99.93169081,3.34599519,111.9511719,16925.67969,1.87343393
2016/9/6,17081.98047,108300000,16971.90625,16729.77202,17115.64818,16343.89586,96.41821369,16819.83663,16672.55827,147.2783638,111.2780649,36.00029894,0.260303852,0.892841624,2.016542015,2.533290642,0.583333333,0.541666667,0,100,99.93169081,3.240456781,44.34960938,17037.63086,2.444008903
2016/9/7,17012.43945,132500000,16996.91406,16742.14546,17147.13977,16337.15115,83.49963306,16849.46784,16697.73465,151.7331829,119.3690885,32.3640944,-0.407101599,0.198941882,1.39219644,1.879082357,0.5,0.541666667,9.641461126,90.35853887,96.78617962,2.495754137,-69.54101563,17081.98047,2.533290642
2016/9/8,16958.76953,111300000,17003.3,16753.32798,17169.13505,16337.52091,61.14754999,16866.28348,16717.07057,149.2129114,125.3378531,23.87505831,-0.31547458,-0.187086922,0.841239375,1.37962383,0.5,0.5,17.08248655,65.45046279,85.26966722,2.796872795,-53.66992188,17012.43945,1.879082357
2016/9/9,16965.75977,123900000,17011.31602,16755.61997,17175.55971,16335.68023,56.76486764,16881.58753,16735.49199,146.0955332,129.4893891,16.60614409,0.041218995,-0.184052768,0.698949597,1.242035376,0.5,0.541666667,16.11333083,67.41059204,74.40653123,2.219993415,6.990234375,16958.76953,1.37962383
2016/9/12,16672.91992,112800000,16938.37383,16745.78794,17163.79999,16327.77589,28.18560934,16849.48482,16730.85702,118.6277931,127.3170699,-8.689276785,-1.726063836,-1.663215163,-1.0964001,-0.510995461,0.5,0.5,56.71388785,0,44.28701827,0.706517649,-292.8398438,16965.75977,1.242035376
2016/9/13,16729.03906,98200000,16867.78555,16752.4144,17164.91622,16339.91259,20.52664371,16830.9547,16730.72236,100.2323408,121.9001241,-21.66778326,0.336588557,-1.032009915,-0.943860403,-0.167208138,0.583333333,0.5,48.93329235,13.71903036,27.04320747,2.251302678,56.11914063,16672.91992,-0.510995461
