Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG,BBands_up_L1,BIAS_24_L1
2018/4/10,30728.74023,2270263700,30100.40977,30824.30889,32161.80959,29486.80818,67.40266291,30410.47214,30656.69338,-246.2212481,-197.497584,-48.7236641,1.651230864,2.091421541,1.094568438,-0.033206062,0.583333333,0.625,40.42798283,95.11926256,57.33902745,-2.602824986,499.1601563,30229.58008,32159.5497,-1.63770312
2018/4/11,30897.71094,2291863000,30243.93203,30819.38389,32155.04051,29483.72726,68.90628142,30485.43195,30674.54654,-189.1145846,-195.8209841,6.706399524,0.549878393,2.197635688,1.79469599,0.378885799,0.666666667,0.666666667,32.10938514,100,83.66690413,-1.645126526,168.9707031,30728.74023,32161.80959,-0.033206062
2018/4/12,30831.2793,1754477200,30506.45,30781.23135,32068.8944,29493.56829,65.45377181,30538.63924,30686.15637,-147.5171349,-186.1602143,38.64307943,-0.215005056,1.613139892,1.64274232,0.119623278,0.666666667,0.625,30.76437288,95.1826972,96.76731992,-0.771687723,-66.43164063,30897.71094,32155.04051,0.378885799
2018/4/13,30808.38086,1406304600,30699.13828,30741.57793,31973.39874,29509.75712,93.91630176,30580.13795,30695.21004,-115.0720893,-171.9425893,56.87049995,-0.07427015,0.823415023,1.42817916,-0.037438954,0.666666667,0.625,16.92066899,93.52221273,96.23496998,1.646662829,-22.8984375,30831.2793,32068.8944,0.119623278
2018/4/16,30315.58984,1827774700,30716.34023,30685.60693,31887.67812,29483.53575,64.39392401,30539.43824,30667.09002,-127.6517833,-163.0844281,35.43264482,-1.599535587,-1.043321266,-0.130310656,-1.591283595,0.583333333,0.583333333,42.21261963,57.78738037,82.16409677,-0.763303043,-492.7910156,30808.38086,31973.39874,-0.037438954
2018/4/17,30062.75,1916884600,30583.14219,30611.68945,31775.44912,29447.92978,44.45043615,30466.10159,30622.32409,-156.2225078,-161.712044,5.489536211,-0.83402581,-1.779499,-0.764900242,-2.288671152,0.5,0.541666667,60.54734803,39.45265197,63.58741503,-2.364600358,-252.8398438,30315.58984,31887.67812,-1.591283595
2018/4/18,30284.25,2001652800,30460.45,30550.80342,31647.35771,29454.24913,31.86393187,30438.12442,30597.28157,-159.1571495,-161.2010651,2.043915642,0.73679221,-0.815753961,-0.105661214,-1.393794467,0.583333333,0.541666667,44.48523424,41.72895575,46.32299603,0.871747682,221.5,30062.75,31775.44912,-2.288671152
2018/4/19,30708.43945,2221670500,30435.88203,30510.5374,31518.23713,29502.83768,43.60850186,30479.71135,30605.51549,-125.8041386,-154.1216798,28.31754124,1.400693275,0.677527236,1.12258697,0.10866017,0.583333333,0.541666667,13.72505697,77.33169591,52.83776788,2.043833482,424.1894531,30284.25,31647.35771,-1.393794467
2018/4/20,30418.33008,1661298600,30357.87188,30453.95742,31341.81255,29566.10229,37.88527829,30470.26808,30591.6499,-121.381825,-147.5737089,26.19188383,-0.944721973,-0.048061803,0.101818893,-0.69995715,0.5,0.541666667,34.76239238,42.58643275,53.88236147,0.789362765,-290.109375,30708.43945,31518.23713,0.10866017
2018/4/23,30254.40039,1516737400,30345.63398,30395.95146,31169.42199,29622.48094,34.98990288,30437.05766,30566.66846,-129.6107929,-143.9811257,14.37033276,-0.538917446,-0.284193989,-0.638118649,-1.061944135,0.5,0.5,46.64978422,22.95321637,47.62378168,2.492356372,-163.9296875,30418.33008,31341.81255,-0.69995715
