Date,Close,Volume,MA_5,MA_20,BBands_up,BBands_down,RSI,EMA_12,EMA_26,DIF,DEM,OSC,RDP,BIAS_6,BIAS_12,BIAS_24,PSY_12,PSY_24,W%R,%K,%D,PROC,MO,LAG
2016/4/12,20504.43945,997121600,20357.67422,20453.96357,20837.51886,20070.40829,50.4249982,20408.28786,20275.22746,133.0603996,175.3069763,-42.24657669,0.311283675,0.870136839,0.277844776,0.587716936,0.583333333,0.5,47.72599716,52.27400284,41.7551157,-0.785370447,63.62890625,20440.81055
2016/4/13,21158.71094,2500342000,20548.08242,20501.91914,20975.53214,20028.30614,100,20523.73756,20340.67068,183.0668836,176.8589578,6.207925846,3.190877204,3.257648354,3.248898698,3.585829433,0.666666667,0.541666667,0,100,64.79666076,2.636305568,654.2714844,20504.43945
2016/4/14,21337.81055,2054279800,20762.43438,20547.04268,21142.87912,19951.20623,100,20648.97956,20414.53289,234.4466689,188.3765,46.07016889,0.846458038,3.182380067,3.704437668,4.180797449,0.75,0.583333333,0,100,84.09133428,4.876733617,179.0996094,21158.71094
2016/4/15,21316.4707,1413648900,20951.64844,20598.42773,21268.89195,19927.96352,98.04776769,20751.6705,20481.3431,270.3274058,204.7666812,65.56072462,-0.100009529,2.213866932,3.203566347,3.797828931,0.666666667,0.583333333,1.838357155,98.16164284,99.38721428,4.665402579,-21.33984375,21337.81055
2016/4/18,21161.5,1426843200,21095.78633,20643.61777,21337.55192,19949.68363,84.58447535,20814.7212,20531.72509,282.9961047,220.4125659,62.58353886,-0.726999818,0.833275064,2.305463592,2.797719063,0.583333333,0.583333333,15.1885721,84.41303027,94.1915577,1.721399081,-154.9707031,21316.4707
2016/4/19,21436.21094,1462091100,21282.14063,20690.23779,21461.32953,19919.14605,86.92079103,20910.335,20598.72404,311.6109596,238.6522446,72.95871495,1.298163823,1.341150482,3.358930108,3.872210822,0.666666667,0.583333333,0,100,94.1915577,3.174285346,274.7109375,21161.5
2016/4/20,21236.31055,1716745500,21297.66055,20718.47178,21525.29498,19911.64857,74.65386245,20960.48509,20645.95267,314.5324134,253.8282784,60.70413504,-0.932536031,-0.179518803,2.092581184,2.737420747,0.666666667,0.541666667,15.87505196,81.24428481,88.55243836,3.597216965,-199.9003906,21436.21094
2016/4/21,21622.25,1709117500,21354.54844,20765.37676,21662.75672,19867.99679,69.06060664,21062.29507,20718.27099,344.0240796,271.8674386,72.156641,1.81735642,1.266833396,3.349575583,4.324105412,0.75,0.583333333,0,100,93.74809494,7.162858701,385.9394531,21236.31055
2016/4/22,21467.03906,1282700700,21384.66211,20805.39121,21751.65054,19859.13188,55.4203306,21124.56338,20773.73529,350.8280843,287.6595678,63.16851654,-0.717829724,0.438594888,2.095159585,3.324034455,0.666666667,0.583333333,10.73938332,86.11473671,89.11967384,6.237391641,-155.2109375,21622.25
2016/4/25,21304.43945,1199972500,21413.25,20839.85166,21805.89216,19873.81116,49.54882768,21152.23662,20813.04671,339.1899074,297.9656357,41.22427167,-0.757438457,-0.312813163,0.906580977,2.377037418,0.583333333,0.541666667,22.45090559,31.43823842,72.51765838,5.123784022,-162.5996094,21467.03906
2016/4/26,21407.26953,1346786700,21407.46172,20892.93467,21861.18078,19924.68855,59.59144473,21191.47245,20857.06322,334.4092347,305.2543555,29.1548792,0.482669719,-0.023275103,0.98036113,2.719879913,0.583333333,0.541666667,15.851688,53.34118964,56.96472159,5.090077371,102.8300781,21304.43945
2016/4/27,21361.59961,1247249600,21432.51953,20942.69961,21899.80726,19985.59196,46.45434109,21217.64586,20894.43628,323.2095773,308.8453999,14.36417747,-0.213338379,-0.178592287,0.401522959,2.362096001,0.5,0.5,20.82122235,43.42910676,42.73617827,4.504660226,-45.66992188,21407.26953
2016/4/28,21388.0293,1684154400,21385.67539,20971.93154,21945.79978,19998.06331,58.63333659,21243.8587,20930.99873,312.8599681,309.6483135,3.211654601,0.123725226,-0.173045575,0.179045731,2.341360256,0.5,0.541666667,19.82502806,49.16533844,48.64521161,4.309261152,26.4296875,21361.59961
2016/4/29,21067.05078,1603138400,21305.67773,20986.44912,21956.89371,20016.00453,15.88506663,21216.65748,20941.07666,275.5808204,302.8348149,-27.25399448,-1.500739087,-1.244671841,-1.289064429,0.714758238,0.416666667,0.541666667,49.66845413,0,30.86481507,-0.433202932,-320.9785156,21388.0293
2016/5/3,20676.93945,1707676300,21180.17773,20995.3501,21950.89607,20039.80413,12.32666472,21133.62394,20921.51094,212.1129968,284.6904513,-72.57745448,-1.851760515,-2.471351989,-2.866304998,-1.215434959,0.333333333,0.541666667,100,0,16.38844615,-3.097183248,-390.1113281,21067.05078
2016/5/4,20525.83008,1555895400,21003.88984,21012.7916,21919.4347,20106.1485,12.46323045,21040.11719,20892.20125,147.9159427,257.3355496,-109.4196068,-0.730811131,-2.587853512,-3.276796144,-1.968494889,0.333333333,0.5,100,0,1.80E-13,-3.709059703,-151.109375,20676.93945
2016/5/5,20449.82031,1354977100,20821.53398,21024.94912,21893.75945,20156.13879,2.616001454,20949.30229,20859.43229,89.86999662,223.842439,-133.9724423,-0.370312749,-2.207988989,-3.36490961,-2.262749541,0.333333333,0.458333333,100,0,1.80E-13,-3.363087151,-76.00976563,20525.83008
2016/5/6,20109.86914,1725801800,20565.90195,21017.14004,21915.40303,20118.87705,2.025900142,20820.15872,20803.90909,16.24963202,182.3238776,-166.0742456,-1.662367525,-2.864590818,-4.472399838,-3.759701657,0.25,0.458333333,100,0,1.80E-13,-6.187389183,-339.9511719,20449.82031
2016/5/9,20156.81055,1323285400,20383.85391,21006.46055,21939.62673,20073.29437,3.542476107,20718.10516,20755.97587,-37.8707082,138.2849604,-176.1556686,0.233424723,-1.663158168,-3.838490054,-3.469201253,0.333333333,0.5,96.89619146,3.618112542,1.206037514,-5.083274694,46.94140625,20109.86914
2016/5/10,20242.67969,1446925800,20297.00195,20996.554,21957.32808,20035.77993,12.18454117,20644.96278,20717.95393,-72.9911492,96.0297385,-169.0208877,0.426005595,-0.577815841,-2.89626506,-3.070678024,0.333333333,0.541666667,91.21844567,10.39075942,4.669623988,-6.380327267,85.86914063,20156.81055
2016/5/11,20055.28906,1337926500,20202.89375,20974.09648,21998.70863,19949.48434,14.96842277,20554.24375,20668.86764,-114.6238962,53.89901157,-168.5229077,-0.925720448,-0.994373442,-3.249165946,-3.938959474,0.333333333,0.5,100,0,4.669623988,-6.576361071,-187.390625,20242.67969
2016/5/12,19915.46094,1150409200,20096.02188,20911.93398,22030.72739,19793.14058,15.16119035,20455.96947,20613.05974,-157.0902703,11.70115519,-168.7914255,-0.697213212,-1.188427105,-3.384229711,-4.541918555,0.333333333,0.458333333,100,0,3.463586474,-6.519667033,-139.828125,20055.28906
2016/5/13,19719.28906,1758498600,20017.90586,20831.00791,22044.97199,19617.04383,13.332353,20342.63402,20546.8545,-204.220482,-31.48317225,-172.7373098,-0.985023021,-1.567116048,-3.678612862,-5.359134658,0.25,0.416666667,100,0,1.80E-13,-7.885080656,-196.171875,19915.46094
2016/5/16,19883.94922,1486067400,19963.33359,20759.38184,22018.52314,19500.24054,36.23884972,20272.06713,20497.75041,-225.6832795,-70.32319369,-155.3600858,0.835020754,-0.558276055,-2.286581631,-4.462474662,0.333333333,0.416666667,90.24513854,20.41559611,6.805198705,-6.917320883,164.6601563,19719.28906
2016/5/17,20118.80078,1568659300,19938.55781,20707.24688,21981.72465,19432.7691,48.11603687,20248.48769,20469.68006,-221.1923748,-100.4970299,-120.6953449,1.181111257,0.648128486,-0.61591004,-3.259382418,0.333333333,0.416666667,76.05908274,54.6878342,25.03447677,-5.934293889,234.8515625,19883.94922
2016/5/18,19826.41016,1351584400,19892.78203,20626.75684,21910.21933,19343.29434,32.87369622,20183.55268,20422.03044,-238.4777571,-128.0931753,-110.3845818,-1.453320345,-0.469161679,-1.557517658,-4.41017533,0.333333333,0.375,93.58072086,20.46675822,31.85672951,-5.889009515,-292.390625,20118.80078
2016/5/19,19694.33008,1148089000,19848.55586,20549.65781,21862.31608,19236.99955,34.44118732,20108.28767,20368.12671,-259.8390429,-154.4423488,-105.396694,-0.666182517,-0.832724421,-1.81412739,-4.732445258,0.333333333,0.333333333,100,0,25.0515308,-4.752199315,-132.0800781,19826.41016
2016/5/20,19852.19922,1247729300,19875.13789,20461.15527,21709.73039,19212.58016,47.31492105,20068.88945,20329.90986,-261.0204146,-175.757962,-85.26245259,0.801596906,0.015296024,-0.749304558,-3.6845271,0.416666667,0.375,83.93368264,28.78987017,16.41887613,-3.281869025,157.8691406,19694.33008
2016/5/23,19809.0293,1086593700,19860.15391,20378.25479,21567.43226,19189.07731,54.37748065,20028.91096,20291.32611,-262.4151535,-193.0894003,-69.32575324,-0.217456622,-0.277336702,-0.700032084,-3.630493877,0.416666667,0.375,86.20574639,27.02170442,18.6038582,-3.133479932,-43.16992188,19852.19922
2016/5/24,19830.42969,1174095900,19802.47969,20304.5543,21436.31173,19172.79686,46.96519308,19998.37538,20257.18564,-258.810258,-206.2335718,-52.57668616,0.108033515,-0.124754132,-0.476578499,-3.211334982,0.5,0.375,81.98525895,32.06336936,29.29164798,-1.389563757,21.40039063,19809.0293
2016/5/25,20368.05078,2040761100,19910.80781,20252.59336,21266.34151,19238.84521,60.52103944,20055.24852,20265.39787,-210.1493522,-207.0167279,-3.132624301,2.7110915,2.368776033,2.1313632,-0.411456595,0.5,0.416666667,0,100,53.02835793,1.047984421,537.6210938,19830.42969
2016/5/26,20397.10938,1347013200,20051.36367,20204.36885,21085.60713,19323.13057,80.97588486,20107.8425,20275.15428,-167.3117821,-199.0757387,31.76395669,0.142667524,2.027081728,2.211115028,-0.019831314,0.5,0.416666667,0,100,77.35445645,0.762891524,29.05859375,20368.05078
2016/5/27,20576.76953,1611353900,20196.27773,20163.80586,20883.19832,19444.41339,95.54388476,20179.98512,20297.49615,-117.5110319,-182.7627974,65.25176545,0.880811849,2.174088631,2.887350917,1.044530886,0.583333333,0.458333333,0,100,100,2.600214174,179.6601563,20397.10938
2016/5/30,20629.39063,1793022100,20360.35,20141.92285,20771.04415,19512.80155,95.00076901,20249.12443,20322.08093,-72.95649906,-160.8015377,87.84503866,0.255730588,1.780733966,2.844522603,1.443046762,0.666666667,0.5,0,100,100,3.584801224,52.62109375,20576.76953
2016/5/31,20815.08984,3129577700,20557.28203,20148.83037,20803.79981,19493.86093,100,20336.19603,20358.6001,-22.40407552,-133.1220453,110.7179698,0.900168222,1.854312362,3.300028163,2.48054733,0.75,0.5,0,100,100,5.556999432,185.6992188,20629.39063
2016/6/1,20760.98047,1422260700,20635.86797,20160.58789,20849.75536,19471.42042,94.7910125,20401.54748,20388.40606,13.14142384,-103.8693515,117.0107753,-0.259952637,0.824373694,2.65914508,2.340241341,0.666666667,0.5,4.827919119,94.62165819,98.2072194,4.410749798,-54.109375,20815.08984
2016/6/2,20859.2207,1988238300,20728.29023,20181.05791,20925.47862,19436.6372,90.97257297,20471.95875,20423.28122,48.6775298,-73.35997521,122.037505,0.473196507,0.900335885,2.831183431,2.936315045,0.666666667,0.5,0,100,98.2072194,3.680238847,98.24023438,20760.98047
2016/6/3,20947.24023,1869294300,20802.38438,20222.92646,21037.50844,19408.34449,91.78105763,20545.07898,20462.093,82.98597964,-42.09078424,125.0767639,0.421969413,0.878691306,2.791791707,3.396146555,0.75,0.541666667,0,100,98.2072194,5.653217447,88.01953125,20859.2207
2016/6/6,21030.2207,1431229200,20882.55039,20266.59697,21152.81697,19380.37698,90.36633922,20619.71616,20504.17653,115.5396347,-10.56470046,126.1043351,0.39614034,0.911038165,2.638291285,3.73037139,0.833333333,0.583333333,0,100,100,6.783122958,82.98046875,20947.24023
2016/6/7,21328.24023,1820198000,20985.18047,20320.875,21320.32702,19321.42298,93.29556482,20728.71987,20565.21829,163.5015819,24.24855601,139.2530259,1.417101301,1.772253567,3.471619094,5.02713547,0.833333333,0.625,0,100,100,7.435151135,298.0195313,21030.2207
2016/6/8,21297.88086,1506480000,21092.56055,20383.00459,21460.16052,19305.84866,87.03927357,20816.2831,20619.48959,196.7935096,58.75754673,138.0359629,-0.142343553,1.238674609,2.706128599,4.695460615,0.833333333,0.625,1.998364694,95.96000551,98.65333517,7.51602484,-30.359375,21328.24023
